ID,Name,Address
145568,Star Hit Cafe,"город Москва, поселение Московский, Киевское шоссе, 22-й километр, домовладение 6, строение 1"
362284,О СУШИ,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Александры Монаховой, дом 98, корпус 3"
288016,Шаурма Лаззат,"город Москва, Бумажный проезд, дом 2/2, строение 7"
189360,Ясмин,"город Москва, Южнопортовая улица, дом 7, строение 12"
226269,"Токио Рамен, лапшичная","город Москва, улица Генерала Кузнецова, дом 22"
345775,Кофейня Кофе114,"Беломорская улица, дом 23"
140002,Ресторан «Пальмира»,"город Москва, Новоданиловская набережная, дом 6, корпус 2"
365316,Пекарня Буханка,"город Москва, Селигерская улица, дом 18, корпус 1"
155383,Столовая «Все ли поели»,"город Москва, Партийный переулок, дом 1, корпус 58, строение 3"
322377,Star hit Cafe,"город Москва, Пресненская набережная, дом 2, помещение 176П/2"
26681,Мариус,"город Москва, улица Миклухо-Маклая, дом 18, корпус 2"
353612,Кафе при салоне красоты Dessange,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Зубовский бульвар, дом 31-33"
201014,Додо Пицца,"город Москва, Первомайская улица, дом 51/23"
323349,Shaverma house,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Таганская улица, дом 1, строение 1"
351805,Кафе Сорока,"город Москва, Никольская улица, дом 17, строение 1"
124209,Грин Палас Внуково,"город Москва, поселение Марушкинское, деревня Марушкино, Полевая улица, дом 16"
360704,Кафе,"город Москва, город Троицк, 42-й километр Калужского шоссе, дом 8"
220575,Воккер,"город Москва, Щукинская улица, дом 42"
369728,Квартиранты,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, Никулинская улица, дом 8, корпус 2"
284608,Greco,"город Москва, Хорошёвское шоссе, дом 27"
341766,BY ERDAL,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, 1-й Красногвардейский проезд, дом 22, строение 1"
153328,Пекарня-кондитерская,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, Судостроительная улица, дом 1"
166309,Столовая Клюква,"город Москва, Электродная улица, дом 2, строение 1"
305044,СушиВок,"город Москва, Хорошёвское шоссе, дом 90"
185920,Кофейня Уголок,"город Москва, улица Космонавта Волкова, дом 6А"
298813,Пиццетория,"город Москва, Дубнинская улица, дом 53, корпус 1"
308396,Pro Хлеб,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Красина, дом 7, строение 1"
368531,Торты кофе 24,"Российская Федерация, город Москва, внутригородская территория поселение Московский, город Московский, 1-й микрорайон, дом 39, строение 1"
349851,Кофейня Corso Coffe,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Измайлово, Щёлковское шоссе, дом 2А"
330039,Viet Quan,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Покровка, дом 4, строение 1"
323573,Кутята,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Весковский переулок, дом 3"
29420,ГБОУ Школа №1554 (начальная школа),"город Москва, улица Пестеля, дом 9А"
68021,Шоколадница,"город Москва, Можайское шоссе, дом 30"
297962,Brownie mama,"улица Ленинская Слобода, дом 26, помещение 102Н/5"
208764,"Genso Sushi, Явтай","город Москва, Нижняя Красносельская улица, дом 35, строение 59"
345446,ФРЕНДС,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, улица Панфилова, дом 11"
373341,Сокровище,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Центральное, улица Красного Маяка, дом 1, корпус 1"
205668,Грузинский акцент,"город Москва, Спартаковская площадь, дом 16/15, строение 17"
313883,Москальян,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Таганская улица, дом 29, строение 1"
23937,Шалахо,"город Москва, Старокачаловская улица, дом 6"
286093,FARШ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Пресненская набережная, дом 6, строение 2"
326008,Кафе «Эльнур»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, 19-й километр Московской Кольцевой Автодороги, владение 20, строение 1"
