ID,Name,Address,IsNetObject,TypeObject,is_actual
374661,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Литвина-Седого, дом 10, строение 2",нет,,
374644,Кофейня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 1А",нет,,
374634,Пицца и Канноли,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лианозово, Абрамцевская улица, дом 30, строение 6",да,,
374631,«FoodBand» пиццерия,"город Москва, 3-й Силикатный проезд, дом 4, корпус 1, строение 4",,,
374627,Индийская кухня,"город Москва, поселение Московский, Киевское шоссе, 23-й километр, владение 1",нет,,
374622,Sapiens,"город Москва, улица Льва Толстого, дом 16",,,
374614,Кафетерий,"город Москва, Митинская улица, дом 36, корпус 1",нет,,
374582,Кафе-пекарня Santo Pan,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, улица Новинки, дом 1",,,
374581,Мартис пицца,"город Москва, Производственная улица, дом 12, корпус 2",нет,,
374557,Я ем ГОУ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Павелецкая площадь, дом 3",нет,,
374554,Кафе Самарканд,"город Москва, улица Лескова, дом 19А, строение 2",,,
374539,МуМу,"город Москва, Щукинская улица, дом 42",нет,,
374451,Хинкальный дом КИНТО,"город Москва, Варшавское шоссе, дом 91",нет,,
374428,COFFEE & БАР,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Стромынка, дом 23/16",нет,,
374427,Море лосося,"город Москва, улица Адмирала Макарова, дом 6, строение 13",нет,,
374422,Блины & Пончики,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Стромынка, дом 23/16",нет,,
374377,Гриль Град,"Российская Федерация, город Москва, внутригородская территория поселение Московский, город Московский, Солнечная улица, земельный участок 4А",,,
374373,One Price Coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Ленинградский проспект, дом 62А",,,
374286,"ХлебОК (пекарня, кондитерская, кулинария)","Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 24Г",,,
374283,Японо Хованский,"город Москва, поселение Сосенское, Николо-Хованская улица, дом 28, строение 5",,,
374282,Вьетнамская кухня,"город Москва, Краснобогатырская улица, дом 2, строение 2",нет,,
374226,Пекарня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, улица 26-ти Бакинских Комиссаров, дом 7, корпус 6",,,
374155,Coffee Like,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, проспект Мира, дом 211, корпус 2",нет,,
374086,Molte Coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, улица Бориса Галушкина, дом 14, корпус 1",нет,,
374079,Sweet Market,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, проспект Мира, дом 211, корпус 2",,,
374077,Му-Му,"город Москва, улица Покрышкина, дом 4",да,,
374075,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, улица Павла Корчагина, дом 11",нет,,
374074,Караоке бар Дружба,"город Москва, Суздальская улица, дом 12А",,,
374072,Шаурма,"город Москва, Рижский проезд, дом 6А",,,
374068,Шаурма,"город Москва, Рижский проезд, дом 4А",нет,,
374029,Мята Lounge Кальянная,"город Москва, Авиационная улица, дом 77, корпус 2",да,,
374023,Маргарита,"город Москва, Измайловское шоссе, дом 71А",,,
373994,Ребра Бар,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, улица Щорса, дом 8, корпус А",нет,,
373986,Шаурма по-братски,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Беговой, улица Нижняя Масловка, дом 5",,,
373974,Стейк и устрица,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Беговой, Ленинградский проспект, дом 24",,,
373936,Крошка Картошка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Отрадное, улица Декабристов, дом 12",да,,
373925,Кофейня Jeffreys coffeeshop,"город Москва, Дмитровское шоссе, дом 81",,,
373916,Едаки твоя шаверма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Бутырская улица, дом 84",нет,,
373914,Кафе,"город Москва, улица Айвазовского, владение 7, строение 1",,,
373912,Столовая Буфетъ,"город Москва, улица Подольских Курсантов, дом 5",нет,,
373862,Piccolo,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, проспект Мира, дом 211, корпус 2",нет,,
373832,Кофе с собой,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бескудниковский, Дубнинская улица, дом 27, корпус 1",нет,,
373801,Хинкальная City,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, Башиловская улица, дом 19",нет,,
373794,Столовая,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, Кавказский бульвар, дом 57, строение 8",нет,,
373756,Вареничная № 1,"город Москва, Тверская улица, дом 17",,,
373742,Кофеттория,"город Москва, 1-я Мясниковская улица, дом 2",,,
373734,МНОГО ЛОСОСЯ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, Карамышевская набережная, дом 58",нет,,
373732,Столовая ЗСР Аркон,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Медведково, Полярная улица, дом 31В, строение 1",нет,,
373681,Боливуд,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, улица Серпуховский Вал, дом 14",нет,,
373669,Стамбул «Донер»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Кастанаевская улица, дом 6",нет,,
373664,Ресторан бар «Bodrum»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Кожевническая улица, дом 14, корпус 1",нет,,
373550,Пекарня «Буханка»,"город Москва, поселение Внуковское, улица Бориса Пастернака, дом 45, корпус 2",да,,
373539,Бабл-Би Бар,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Проспект Вернадского, Ленинский проспект, дом 108, строение 1",нет,,
373513,Шаурма,"город Москва, Авиационная улица, дом 68, корпус 3",нет,,
373483,Кулинарная лавка братьев Караваевых,"город Москва, улица Черняховского, дом 4",да,,
373470,Кафе «Терраса»,"город Москва, Россошанская улица, дом 4, корпус 1",нет,,
373460,УзПлов,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ново-Переделкино, улица Шолохова, дом 10, корпус 1",,,
373389,Хочу Шаурму,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Стромынка, дом 25, строение 1",нет,,
373385,Чайхана Самарканд 24,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Стромынка, дом 25, строение 1",,,
373379,Шаверма.Гриль Бургер,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Новотушинский проезд, дом 8, корпус 1",нет,,
373365,Грузинский хлеб,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, улица Плещеева, дом 4А",нет,,
373350,Кофейня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Новослободская улица, дом 3",нет,,
373345,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Новослободская улица, дом 3",нет,,
373341,Сокровище,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Центральное, улица Красного Маяка, дом 1, корпус 1",нет,,
373336,Хинкальная «Никала»,"город Москва, Алтуфьевское шоссе, дом 8",нет,,
373319,Кофе,"город Москва, улица Миклухо-Маклая, дом 55",нет,,
373312,Carls Jr.,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, улица Шаболовка, дом 34, строение 3",нет,,
373303,Кафе Финик,"город Москва, поселение Десеновское, 1-я Нововатутинская улица, дом 3",,,
373279,Буханка,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Александры Монаховой, дом 23",да,,
373247,Smart coffee,"город Москва, Ленинградский проспект, дом 37А, корпус 4",,,
373243,Восточный вкус,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крюково, город Зеленоград, Заводская улица, дом 16А",нет,,
373218,Little Hanoy,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Митинская улица, дом 40",нет,,
373146,Шаурма Кинг,"город Москва, Алтуфьевское шоссе, дом 8",нет,,
373145,Соки,"город Москва, Алтуфьевское шоссе, дом 8",нет,,
