Name;StationCapacity;Location
Пункт проката велосипедов № 473;12;ул. Академика Королёва, д.12А
Пункт проката велосипедов № 479;12;ул. Сокольнический Вал, д.40
Пункт проката велосипедов № 480;12;ул. Яблочкова, д.25
Пункт проката велосипедов № 481;12;ул. Милашенкова, д.12Д
Пункт проката велосипедов № 482;12;ул. Руставели, д.12/13
Пункт проката велосипедов № 484;12;ул. Руставели (напротив д.6, к.5)
Пункт проката велосипедов № 493;12;ул. Краснобогатырская, д.62
Пункт проката велосипедов № 494;12;ул. Краснобогатырская, д.89
Пункт проката велосипедов № 5;12;Никитский б-р (напротив д.11/12, стр.3)
Пункт проката велосипедов № 508;12;ул. Зорге, д.21, стр.3 (МЦК Зорге)
Пункт проката велосипедов № 51;12;ул. Новый Арбат, д.20
Пункт проката велосипедов № 510;12;Чапаевский пер., д.2
Пункт проката велосипедов № 517;12;ул. Таманская, остановка Водная станция Труд
Пункт проката велосипедов № 518;12;ул. Живописная, д.12, к.1
Пункт проката велосипедов № 52;12;Никитский б-р (напротив д.8А/3, стр.1)
Пункт проката велосипедов № 521;12;Ленинградский пр-т, д.44
Пункт проката велосипедов № 524;12;Ленинградский пр-т, д.68
Пункт проката велосипедов № 525;12;ул. Часовая, д.24, стр.3
Пункт проката велосипедов № 528;12;ул. Черняховского, д.4А
Пункт проката велосипедов № 533;12;ул. Полковая, д.1, стр.2
Пункт проката велосипедов № 534;12;ул. Дубовая Роща, д.21 (платформа Останкино)
Пункт проката велосипедов № 535;12;пр-т Мира, д.123
Пункт проката велосипедов № 54;12;пер. Сивцев Вражек, д.26, стр.1
Пункт проката велосипедов № 541;12;ул. Народного Ополчения, д.28, к.1
Пункт проката велосипедов № 542;12;ул. Демьяна Бедного, д.10
Пункт проката велосипедов № 55;12;ул. Пречистенка, д.34
Пункт проката велосипедов № 567;12;2-я Песчаная ул., д.1/18
Пункт проката велосипедов № 571;12;Измайловский пр-т, вл53Ас1
Пункт проката велосипедов № 573;12;Измайловское ш., д.69Д, стр.2 (ст. м. Партизанская, выход №1)
Пункт проката велосипедов № 58;12;Серебряническая наб., д.29
Пункт проката велосипедов № 589;12;Ул. Семёновский Вал, д.10, к.2
Пункт проката велосипедов № 590;12;ст. м. Молодёжная (выход № 1)
Пункт проката велосипедов № 60;12;ул. Мясницкая, д.11
Пункт проката велосипедов № 602;12;ул. Симоновский Вал, д.2
Пункт проката велосипедов № 607;12;ул. Симоновский Вал, д.12, к.2
Пункт проката велосипедов № 61;12;Малая Дмитровка, 15
Пункт проката велосипедов № 610;12;8-я улица Соколиной Горы, д.29/1
Пункт проката велосипедов № 615;12;ул. Таганская, д.31/22
Пункт проката велосипедов № 618;12;ул. Энергетическая, д.16, к.1
Пункт проката велосипедов № 620;12;МЦК Дубровка (выход №2)
Пункт проката велосипедов № 621;12;ул. Автозаводская, д. 17
Пункт проката велосипедов № 623;12;ул. Марксистская, д.22, стр.1
Пункт проката велосипедов № 624;12;ул. Нижегородская, д.16
Пункт проката велосипедов № 629;12;ул. Велозаводская, д.11/1
Пункт проката велосипедов № 652;12;2-я Бауманская ул., д.3
Пункт проката велосипедов № 656;12;ул. Большая Почтовая, д.7, стр.1
Пункт проката велосипедов № 673;12;ст. м. Коломенская (выход №4)
Пункт проката велосипедов № 680;12;ст. м. Зябликово (выход №9)
Пункт проката велосипедов № 682;12;ст. м. Шипиловская (выход №5)
Пункт проката велосипедов № 683;12;ул. Мусы Джалиля, вл.13а
Пункт проката велосипедов № 684;12;ул. Маршала Захарова, д.8, к.1
Пункт проката велосипедов № 685;12;ст. м. Орехово (выход №3)
Пункт проката велосипедов № 686;12;Бескудниковский б-р, д.29, к.1
Пункт проката велосипедов № 687;12;ул. Дубнинская, д.12, к.3
Пункт проката велосипедов № 699;12;ул. Костромская, д.17 (ст. м. Бибирево, выход №2)
Пункт проката велосипедов № 70;12;Лаврушинский пер. (напротив д.4, стр.1)
Пункт проката велосипедов № 701;12;ул. Поречная, д.17/22
Пункт проката велосипедов № 703;12;наб. Тараса Шевченко, д.2/1
Пункт проката велосипедов № 705;12;ул. Годовикова, д.9, стр.14
Пункт проката велосипедов № 706;12;ул. Бутырская, д.5 (ст. м. Савёловская, выход №7)
Пункт проката велосипедов № 708;12;ул. Тимирязевская, д.10/12
Пункт проката велосипедов № 709;12;ул. Тимирязевская, д.38/25
Пункт проката велосипедов № 716;12;Коровинское ш., д. 20 к.1
Пункт проката велосипедов № 720;12;ул. Новосущёвская, д.22, стр.2
Пункт проката велосипедов № 721;12;ул. Николоямская, д.33, стр.1
Пункт проката велосипедов № 722;12;ул. Коломенская, д.21
Пункт проката велосипедов № 723;12;ул. Новинки, д.31
Пункт проката велосипедов № 724;12;ул. Мусы Джалиля (напротив д.5, к.4)
Пункт проката велосипедов № 729;12;ул. Донецкая, д.10
Пункт проката велосипедов № 731;12;Новочеркасский б-р, д.7
Пункт проката велосипедов № 732;12;ул. Маршала Голованова, д.11
Пункт проката велосипедов № 734;12;ул. Бутырская, д.97 (ст. м. Дмитровская, выход №2)
Пункт проката велосипедов № 736;12;Каширское ш., ост. МЦД Москворечье
Пункт проката велосипедов № 738;12;Каширское ш., д.45, стр.21
Пункт проката велосипедов № 74;12;ул. Большая Полянка, д.50/1, стр.1
Пункт проката велосипедов № 740;12;Батайский пр., д.65
Пункт проката велосипедов № 750;12;Краснопресненская наб., д.16, стр.1
Пункт проката велосипедов № 754;12;ул. Рочдельская, д.15, стр.13
Пункт проката велосипедов № 770;12;ул. Вятская, д.27, стр.15
Пункт проката велосипедов № 771;12;ул. Тестовская, д.18 (ст. м. Международная)
Пункт проката велосипедов № 774;12;ст. м. Ясенево (выход №3)
Пункт проката велосипедов № 775;12;ст. м. Новоясеневская (выход №3)
Пункт проката велосипедов № 78;12;ул. Пятницкая, д.48, стр.1
Пункт проката велосипедов № 794;12;ст. м. Новокосино (выход №3)
Пункт проката велосипедов № 796;12;ст. м. Косино (выход №7)
Пункт проката велосипедов № 798;12;ул. Дмитриевского, д.23 (ст. м. Лухмановская, выход №3)
Пункт проката велосипедов № 799;12;ст. м. Некрасовка (выход №6)
Пункт проката велосипедов № 80;12;ул. Пятницкая, д.2/38
Пункт проката велосипедов № 833;12;ул. Михалковская, д.4
Пункт проката велосипедов № 834;12;ул. Михалковская, д.36, стр.1
Пункт проката велосипедов № 84;12;ул. Большая Татарская, д.30
Пункт проката велосипедов № 845;12;Ленинградское ш., д.51
Пункт проката велосипедов № 87;12;Котельническая наб., д.1/15, стр.10
Пункт проката велосипедов № 88;12;Котельническая наб., (напротив д.33)
Пункт проката велосипедов № 89;12;ул. Большая Садовая, д.5, стр.1
Пункт проката велосипедов № 900;12;ул. Люсиновская, д.60
Пункт проката велосипедов № 901;12;Ленинский пр-т, д.21
Пункт проката велосипедов № 902;12;Мичуринский пр-т, д.3
Пункт проката велосипедов № 903;12;ул. Коштоянца, д.33
Пункт проката велосипедов № 904;12;ул. Каховка, д.28, стр.2
Пункт проката велосипедов № 905;12;ул. Новодмитровская, д.1, стр.3
Пункт проката велосипедов № 909;12;Волжский б-р, квартал 114а, к.10
Пункт проката велосипедов № 911;12;ул. Авиационная, д.79, стр.1
Пункт проката велосипедов № 963;12;Сколково, ул. Сикоргского, д.11
Пункт проката велосипедов № 977;12;г. Троицк, ул. Солнечная, д.1
Пункт проката велосипедов № 16;10;ул. Мясницкая, д.10
Пункт проката велосипедов № 296;10;Мичуринский пр-т, д.38 (ст. м. Раменки)
Пункт проката велосипедов № 33;10;Столешников пер. (напротив д.11)
Пункт проката велосипедов № 49;10;ул. Мясницкая, д.39, стр.1
Пункт проката велосипедов № 551;10;1-я Мытищинская ул., д.17
Пункт проката велосипедов № 579;10;ул. Ибрагимова, д.32
Пункт проката велосипедов № 628;10;ул. Велозаводская, д.2
Пункт проката велосипедов № 77;10;ул. Пятницкая, д.37
Пункт проката велосипедов № 203;9;Комсомольский пр-т (пересеч. со 2-ой Фрунзенской ул.)
Пункт проката велосипедов № 249;9;Кутузовский пр-т, д.35/30
Пункт проката велосипедов № 266;9;ул. Нежинская, д.25
Пункт проката велосипедов № 269;9;ул. Матвеевская, д.9
Пункт проката велосипедов № 297;9;Мичуринский пр-т, Олимпийская Деревня, д.4, к.2
Пункт проката велосипедов № 298;9;пр-т Вернадского, д.78, стр.4
Пункт проката велосипедов № 299;9;ул. Академика Анохина, д.12, к.2
Пункт проката велосипедов № 427;9;ул. Правды, д.24, стр.4
Пункт проката велосипедов № 467;9;Гостиничный пр., д.8
Пункт проката велосипедов № 468;9;Дмитровское ш., д.63, к.1
Пункт проката велосипедов № 477;9;3-я Рыбинская ул., д.30
Пункт проката велосипедов № 496;9;Дмитровское ш., д.25
Пункт проката велосипедов № 498;9;пр-т Мира, д.150
Пункт проката велосипедов № 512;9;Ленинградский пр-т, д.39, стр.17
Пункт проката велосипедов № 514;9;пр-т Маршала Жукова, д.28
Пункт проката велосипедов № 516;9;пр-т Маршала Жукова, д.70, к.1 (перекрёсток с ул. Живописной)
Пункт проката велосипедов № 519;9;ул. Генерала Глаголева, д.21
Пункт проката велосипедов № 544;9;3-я Хорошевская ул., д.24, стр.1
Пункт проката велосипедов № 545;9;ул. Народного Ополчения, д.46, к.1
Пункт проката велосипедов № 546;9;ул. Народного Ополчения, д.47, к.1, стр.1
Пункт проката велосипедов № 609;9;ул. Сергия Радонежского, д.2
Пункт проката велосипедов № 611;9;ст. м. Площадь Ильича (выход №3)
Пункт проката велосипедов № 612;9;ул. Золоторожский Вал, д.11, стр.1
Пункт проката велосипедов № 614;9;ул. Самокатная, д.4, стр.8
Пункт проката велосипедов № 617;9;ш. Энтузиастов, д.15/16 (ст. м. Авиамоторная, выход к ул. Красноказарменная)
Пункт проката велосипедов № 630;9;ул. Симоновский Вал, д.13, к.2
Пункт проката велосипедов № 660;9;ул. Донецкая, д.35
Пункт проката велосипедов № 663;9;ул. Перерва, д.40
Пункт проката велосипедов № 665;9;ул. Братиславская, д.20
Пункт проката велосипедов № 666;9;Перервинский б-р, д.21, к.1
Пункт проката велосипедов № 667;9;2-й квартал Капотни, д.18
Пункт проката велосипедов № 670;9;ул. Нагатинская, д.11, к.1
Пункт проката велосипедов № 671;9;ул. Судостроительная, д.14/16
Пункт проката велосипедов № 675;9;Каширское ш., д.33, к.17
Пункт проката велосипедов № 676;9;Каширское ш., д.57, к.1
Пункт проката велосипедов № 681;9;ул. Елецкая, вл.1А (перекрёсток Орехового б-ра и Елецкой ул.)
Пункт проката велосипедов № 692;9;ул. Ангарская, д.17
Пункт проката велосипедов № 693;9;ул. Ангарская, д.69
Пункт проката велосипедов № 694;9;ул. Софьи Ковалевской, д.16
Пункт проката велосипедов № 695;9;Бескудниковский б-р, д.57, к.1
Пункт проката велосипедов № 697;9;Бескудниковский б-р., д.13
Пункт проката велосипедов № 886;9;Чонгарский б-р, д.7
Пункт проката велосипедов № 906;9;ст. м. Текстильщики (выход № 1)
Пункт проката велосипедов № 11;8;Страстной б-р (напротив д.16)
Пункт проката велосипедов № 17;8;Чистопрудный б-р (напротив д.8, стр.1)
Пункт проката велосипедов № 19;8;Покровский б-р (напротив д.8, стр.1)
Пункт проката велосипедов № 20;8;Покровский б-р (напротив д.12, стр.1)
Пункт проката велосипедов № 21;8;Покровский б-р (напротив д.18, стр.18)
Пункт проката велосипедов № 252;6;ул. Льва Толстого, д.14А
