Ид,Наименование,Адрес,Сетевой?,Специализация,КоличМест
125626,Катька запеканка,"город Москва, Гостиничный проезд, дом 6, корпус 2",нет,отсутствует,0.0
93671,Теремок,"город Москва, Пресненская набережная, дом 2, помещение 176П/2",,отсутствует,30.0
93657,Вкусно - и точка,"город Москва, Пресненская набережная, дом 2, помещение 176П/2",да,отсутствует,0.0
76640,Якитория,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Шмитовский проезд, дом 16, строение 2",,ресторан,0.0
73438,Ганс и Марта,"город Москва, Салтыковская улица, дом 15Г",да,ресторан,0.0
29194,ГБОУ школа №236,"город Москва, Коровинское шоссе, дом 24А",нет,отсутствует,0.0
28673,ГБОУ Школа № 1384 Дошкольное учреждение,"город Москва, улица Алабяна, дом 13, корпус 2",нет,отсутствует,325.0
28376,Столовая Рабочая,"город Москва, Ленинградский проспект, дом 31А, строение 1",,столовая,40.0
27033,Банкетный,"город Москва, Ленинградский проспект, дом 31А, строение 1",нет,отсутствует,0.0
27011,Аллегро,"город Москва, Ленинградский проспект, дом 31А, строение 1",нет,отсутствует,0.0
27010,Премьер,"город Москва, Ленинградский проспект, дом 31А, строение 1",нет,ресторан,83.0
25007,Шоколадница,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Нижняя Радищевская улица, дом 5, строение 2",да,отсутствует,0.0
24219,Кафе «Чашки»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Шмитовский проезд, дом 16, строение 2",,отсутствует,0.0
20821,Теремок,"город Москва, Ладожская улица, дом 5",да,отсутствует,0.0
20123,Кафе «Дарума суши»,"город Москва, проспект Вернадского, дом 53",нет,кафе,37.0
